私_,我们,わたしたち,3,
大学院生,研究生,だいがくいんせい,4,简称“院生”
こんにちは,你好,こんにちは,0,（昼间寒暄语）
初めまして,初次见面,はじめまして,4,
私,我,わたし,0,
高,高桥,たかはし,0,（日本姓氏）
どうぞよろし,请多关照，请多照拂,どうぞよろし,,(书信)
,陈,ちん,1,（中国姓氏）
金,金,きん,1,（中国韩国姓氏）
さん,"老,小;先生",さん,,(姓名后)；(轻微的)
人,人,ひと,0,
n国人,n国人,かんこくじん,4,
皆,都，全；大家,みな,"2,1",(副)；(名)
攻,专业，研究方向,せんこう,0,(研究生的)
H金融,H金融,こくさいきんゆう,5,
マイクロけいざいがく,微观经济学,マイクロけいざいがく,9,
ドクタ`,博士,ドクタ`,1,（＝はくし）
社会学,社会学,しゃかいがく,2,
弟,弟,おとうと,4,
日本文化,日本文化,にほんぶんか,4,
マスタ`,硕士,マスタ`,1,（＝しゅうじ）
そうですか,是吗？,そうですか,,（句）
今,现在,いま,1,
大学,だいがく,だいがく,0,
大学院,研究生院,だいがくいん,5,
兄弟,兄弟,きょうだい,1,
二人,二人,ふたり,3,
学生,学生,がくせい,0,
なるほど,的确，诚然,なるほど,0,
これから,今后，从今以后,これから,0,
お互いに,互相,おたがいに,0,
助け合って,互相帮助,たすけあって,4,
よく,努力，好好地；经常,よく,1,(副)
勉しましょう,学习吧,べんきょうしましょう,,"(""勉する""的敬体)"
