分组,日语,汉语解释,假名,音调
1,その後,别后；其后，后来,そのご,0
1,でいらっしゃいます,（です的尊他敬语）是,でいらっしゃいます,
1,⒐,（名・自サ）回国,きこく,0
1,六日,六日，六号,むいか,0
1,仕事,工作,しごと,0
2,叭,每日，每天,まいにち,1
2,北京旅行,,ぺきんりょこう,0
2,\に,真是，实在是（比“本当に”语感强，程度重，更中肯）,まことに,0
2,Wい,（形）迟，晚,おそい,0
2,本当に,真实，实在是；非常,ほんとうに,0
2,家族,家属，家庭成员；家族,かぞく,1
2,暖かい,（形）温暖的，暖洋洋的；暖和的,あたたかい,4
2,心遣い,关怀；惦念,こころづかい,4
2,嬉しい,（形）高兴，喜悦,うれしい,3
3,予想以上,超过预料,よそういじょう,4
3,Sしい,（形）愉快,たのしい,3
3,旅,旅行；旅途,たび,2
3,奥,（尊他敬语）太太，夫人,おくさま,1
3,\る,（自五）包含，充满,こもる,2
3,心の\った,（词组）诚心诚意的，诚恳的,こころのこもった,
3,手料理,亲手做的菜,てりょうり,2
4,美味しさ,好味道，美味,おいしさ,0
4,忘れる,（他下一）忘，忘记,わすれる,0
4,以前,,いぜん,1
4,Lれる,（自下一）访问（=たずねる）,おとずれる,4
4,以来,,いらい,1
4,街,街，街道,まち,2
4,街行く人,（词组）街上的人,まちゆくひと,
5,人人,人们,ひとびと,2
5,姿,"姿态；面貌，风貌，情形，
状态；风采，打扮",すがた,1
5,涿,面貌改变，面貌变化,へんぼう,0
5,印象,,いんしょう,0
5,残る,（自五）留下，剩下,のこる,2
5,Ug面で言えば,（词组）在经济方面来看,けいざいめんでいえば,
5,未だ,（副）还，仍,まだ,
5,中国の方,（尊他敬语）中国人,ちゅうごくのかた,
6,残念,（形动）遗憾，可惜,ざんねん,3
6,C会,机会,きかい,2
6,是非是非,"（副）务必，务请
（女子用语，ぜひ的强调）",ぜひ－ぜひ,1=1
6,いらっしゃる,（ラ洌（尊他敬语）来；去；在,いらっしゃる,4
6,秋,秋，秋天，秋季,あき,1
6,,时候，期间,ころ,1
6,是非,（副）务必，一定,ぜひ,1
6,二度・再び,再，再次,ふたたび,0
6,これから,（词组）今后，往后,これから,"0,4"
6,益益,（副）日益，越发,ますます,0
7,寒さ,寒冷，寒冷的程度,さむさ,1
7,より一,（词组）更进一步,よりいっそう,
7,健康,,けんこう,0
7,荬蚋钉堡,（词组）注意，当心,きをつける,
7,御机下,座右，足下,おきか,3
7,追伸,又及，再启,ついしん,0
7,e便,另函，另有邮件,べつびん,0
7,送る,（他五）送，赠送，寄送,おくる,0
7,どうか,（副）请（一般用于对第三人称）,どうか,1
7,笑{,（他サ）笑纳，笑留,しょうのう,0
